File 565: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 188.577416985 seconds
File 546: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 188.682540827 seconds
File 412: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 188.845723171 seconds
File 70: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 189.095202766 seconds
File 934: Started at 13:36:12, Finished at 13:39:20, Elapsed time: 188.676137764 seconds
File 260: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 189.074832220 seconds
File 89: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 189.206255791 seconds
File 45: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 189.216090106 seconds
File 99: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.453343975 seconds
File 881: Started at 13:36:12, Finished at 13:39:21, Elapsed time: 189.108428730 seconds
File 373: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.452880966 seconds
File 950: Started at 13:36:12, Finished at 13:39:21, Elapsed time: 189.207517180 seconds
File 823: Started at 13:36:12, Finished at 13:39:21, Elapsed time: 189.373967410 seconds
File 467: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.790165000 seconds
File 52: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.927888504 seconds
File 244: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.973967120 seconds
File 286: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.855968225 seconds
File 969: Started at 13:36:12, Finished at 13:39:21, Elapsed time: 189.637699864 seconds
File 622: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.837296091 seconds
File 513: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 189.960762329 seconds
File 506: Started at 13:36:11, Finished at 13:39:21, Elapsed time: 190.068063662 seconds
File 760: Started at 13:36:12, Finished at 13:39:21, Elapsed time: 189.952686925 seconds
File 558: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.206234541 seconds
File 154: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.442753707 seconds
File 620: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.263458545 seconds
File 664: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.222367735 seconds
File 695: Started at 13:36:12, Finished at 13:39:22, Elapsed time: 190.264531429 seconds
File 945: Started at 13:36:12, Finished at 13:39:22, Elapsed time: 190.149129982 seconds
File 287: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.469548450 seconds
File 466: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.449573392 seconds
File 734: Started at 13:36:12, Finished at 13:39:22, Elapsed time: 190.331832916 seconds
File 326: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.592818507 seconds
File 572: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.668455887 seconds
File 27: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.923816116 seconds
File 503: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.788125673 seconds
File 529: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.761128166 seconds
File 657: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.700068890 seconds
File 216: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.949404345 seconds
File 213: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 191.011530597 seconds
File 22: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 191.125999068 seconds
File 647: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 190.858154286 seconds
File 1021: Started at 13:36:12, Finished at 13:39:22, Elapsed time: 190.710946247 seconds
File 163: Started at 13:36:11, Finished at 13:39:22, Elapsed time: 191.238587895 seconds
File 321: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.138048718 seconds
File 989: Started at 13:36:12, Finished at 13:39:23, Elapsed time: 190.937336547 seconds
File 909: Started at 13:36:12, Finished at 13:39:23, Elapsed time: 191.045043297 seconds
File 492: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.290497263 seconds
File 79: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.444847588 seconds
File 959: Started at 13:36:12, Finished at 13:39:23, Elapsed time: 191.063804690 seconds
File 313: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.427147929 seconds
File 475: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.377881045 seconds
File 930: Started at 13:36:12, Finished at 13:39:23, Elapsed time: 191.257465253 seconds
File 249: Started at 13:36:11, Finished at 13:39:23, Elapsed time: 191.591862066 seconds
