File 305: Started at 13:12:33, Finished at 13:13:23, Elapsed time: 49.499398105 seconds
File 320: Started at 13:12:33, Finished at 13:13:23, Elapsed time: 49.601893659 seconds
File 25: Started at 13:12:33, Finished at 13:13:23, Elapsed time: 49.614485179 seconds
File 176: Started at 13:12:33, Finished at 13:13:23, Elapsed time: 49.995880761 seconds
File 321: Started at 13:12:33, Finished at 13:13:24, Elapsed time: 50.325617819 seconds
File 160: Started at 13:12:33, Finished at 13:13:24, Elapsed time: 50.635793370 seconds
File 319: Started at 13:12:33, Finished at 13:13:24, Elapsed time: 50.724389919 seconds
File 434: Started at 13:12:33, Finished at 13:13:24, Elapsed time: 50.808469361 seconds
File 226: Started at 13:12:33, Finished at 13:13:25, Elapsed time: 51.365310472 seconds
File 183: Started at 13:12:33, Finished at 13:13:25, Elapsed time: 51.479353501 seconds
File 155: Started at 13:12:33, Finished at 13:13:25, Elapsed time: 51.518808965 seconds
File 331: Started at 13:12:33, Finished at 13:13:25, Elapsed time: 51.912142141 seconds
File 296: Started at 13:12:33, Finished at 13:13:25, Elapsed time: 51.939841049 seconds
File 239: Started at 13:12:33, Finished at 13:13:26, Elapsed time: 52.256974986 seconds
File 273: Started at 13:12:33, Finished at 13:13:26, Elapsed time: 52.265694506 seconds
File 317: Started at 13:12:33, Finished at 13:13:26, Elapsed time: 52.708764365 seconds
File 355: Started at 13:12:33, Finished at 13:13:26, Elapsed time: 52.860797276 seconds
File 394: Started at 13:12:33, Finished at 13:13:27, Elapsed time: 53.264831860 seconds
File 199: Started at 13:12:33, Finished at 13:13:27, Elapsed time: 53.470314597 seconds
File 389: Started at 13:12:33, Finished at 13:13:27, Elapsed time: 53.496304304 seconds
File 352: Started at 13:12:33, Finished at 13:13:27, Elapsed time: 53.999749058 seconds
File 161: Started at 13:12:33, Finished at 13:13:28, Elapsed time: 54.169025886 seconds
File 182: Started at 13:12:33, Finished at 13:13:28, Elapsed time: 54.289888174 seconds
File 154: Started at 13:12:33, Finished at 13:13:28, Elapsed time: 54.326005691 seconds
File 341: Started at 13:12:33, Finished at 13:13:28, Elapsed time: 54.807112093 seconds
File 268: Started at 13:12:33, Finished at 13:13:28, Elapsed time: 54.846422006 seconds
File 338: Started at 13:12:33, Finished at 13:13:29, Elapsed time: 55.293967905 seconds
File 193: Started at 13:12:33, Finished at 13:13:29, Elapsed time: 55.376673934 seconds
File 345: Started at 13:12:33, Finished at 13:13:29, Elapsed time: 55.475781063 seconds
File 241: Started at 13:12:33, Finished at 13:13:29, Elapsed time: 55.830755642 seconds
File 175: Started at 13:12:33, Finished at 13:13:29, Elapsed time: 55.899800824 seconds
File 425: Started at 13:12:33, Finished at 13:13:30, Elapsed time: 56.095251029 seconds
File 234: Started at 13:12:33, Finished at 13:13:30, Elapsed time: 56.574732457 seconds
File 217: Started at 13:12:33, Finished at 13:13:30, Elapsed time: 56.748906751 seconds
File 136: Started at 13:12:33, Finished at 13:13:30, Elapsed time: 56.829282711 seconds
File 379: Started at 13:12:33, Finished at 13:13:31, Elapsed time: 57.387614185 seconds
