File 217: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.093775450 seconds
File 191: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.109764453 seconds
File 203: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.124817230 seconds
File 88: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.125086029 seconds
File 193: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.100671852 seconds
File 157: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.119251101 seconds
File 216: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.105442957 seconds
File 156: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.124292074 seconds
File 219: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.127552415 seconds
File 274: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.125110178 seconds
File 300: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.112844206 seconds
File 215: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.135773840 seconds
File 277: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.129771273 seconds
File 187: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.123856665 seconds
File 192: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.133477203 seconds
File 195: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.162176776 seconds
File 130: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.130885847 seconds
File 284: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.144217245 seconds
File 94: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.147090619 seconds
File 270: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.157309443 seconds
File 111: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.164779802 seconds
File 155: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.190958029 seconds
File 280: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.172088552 seconds
File 290: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.167516927 seconds
File 119: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.184432665 seconds
File 212: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.176577357 seconds
File 287: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.192881278 seconds
File 109: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.183370390 seconds
File 273: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.183526879 seconds
File 319: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.176755697 seconds
File 335: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.155606661 seconds
File 320: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.160360146 seconds
File 209: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.193328406 seconds
File 197: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.178622467 seconds
File 326: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.148008304 seconds
File 258: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.148679330 seconds
File 122: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.202524926 seconds
File 408: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.139035573 seconds
File 415: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.157194634 seconds
File 246: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.169325127 seconds
File 253: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.191047458 seconds
File 233: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.173671304 seconds
File 245: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.179676850 seconds
File 407: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.195250194 seconds
File 411: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.189345487 seconds
File 298: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.200348468 seconds
File 194: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.231330669 seconds
File 221: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.197401954 seconds
File 452: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.181214383 seconds
File 333: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.210256003 seconds
File 108: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.221895840 seconds
File 340: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.206237385 seconds
File 146: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.243119724 seconds
File 328: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.219843291 seconds
File 132: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.255365537 seconds
File 198: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.240156770 seconds
File 425: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.208059145 seconds
File 20: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.311171622 seconds
