File 919: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 190.744835836 seconds
File 124: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 191.132656458 seconds
File 62: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 191.133215375 seconds
File 766: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 190.830685141 seconds
File 347: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.046565644 seconds
File 779: Started at 13:17:48, Finished at 13:20:59, Elapsed time: 191.067440417 seconds
File 502: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.267408175 seconds
File 351: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.449962216 seconds
File 604: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.485381889 seconds
File 368: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.572053401 seconds
File 29: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.785506366 seconds
File 1001: Started at 13:17:48, Finished at 13:20:59, Elapsed time: 191.530505290 seconds
File 525: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.750564542 seconds
File 466: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.804746777 seconds
File 598: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.779608086 seconds
File 431: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 191.997138171 seconds
File 321: Started at 13:17:47, Finished at 13:20:59, Elapsed time: 192.069882679 seconds
File 707: Started at 13:17:47, Finished at 13:21:00, Elapsed time: 192.059173021 seconds
File 149: Started at 13:17:47, Finished at 13:21:00, Elapsed time: 192.241685800 seconds
File 130: Started at 13:17:47, Finished at 13:21:00, Elapsed time: 192.564955639 seconds
File 753: Started at 13:17:48, Finished at 13:21:00, Elapsed time: 192.226564735 seconds
File 778: Started at 13:17:48, Finished at 13:21:00, Elapsed time: 192.467408181 seconds
File 388: Started at 13:17:48, Finished at 13:21:00, Elapsed time: 192.723805754 seconds
File 278: Started at 13:17:47, Finished at 13:21:00, Elapsed time: 192.934824380 seconds
File 112: Started at 13:17:47, Finished at 13:21:00, Elapsed time: 193.090391787 seconds
File 721: Started at 13:17:47, Finished at 13:21:00, Elapsed time: 192.996327562 seconds
File 492: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.034739200 seconds
File 860: Started at 13:17:48, Finished at 13:21:01, Elapsed time: 192.938890683 seconds
File 812: Started at 13:17:48, Finished at 13:21:01, Elapsed time: 192.966452944 seconds
File 364: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.225641961 seconds
File 660: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.183228922 seconds
File 618: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.386187797 seconds
File 102: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.557136471 seconds
File 711: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.430931166 seconds
File 215: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.705543493 seconds
File 842: Started at 13:17:48, Finished at 13:21:01, Elapsed time: 193.452782165 seconds
File 87: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.838099578 seconds
File 943: Started at 13:17:48, Finished at 13:21:01, Elapsed time: 193.514166727 seconds
File 907: Started at 13:17:48, Finished at 13:21:01, Elapsed time: 193.580157116 seconds
File 158: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.979104156 seconds
File 732: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.847456496 seconds
File 775: Started at 13:17:48, Finished at 13:21:01, Elapsed time: 193.757690560 seconds
File 302: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 194.060158265 seconds
File 536: Started at 13:17:47, Finished at 13:21:01, Elapsed time: 193.942817658 seconds
File 933: Started at 13:17:48, Finished at 13:21:02, Elapsed time: 193.876437493 seconds
File 861: Started at 13:17:48, Finished at 13:21:02, Elapsed time: 194.082297813 seconds
File 421: Started at 13:17:47, Finished at 13:21:02, Elapsed time: 194.402628814 seconds
File 86: Started at 13:17:47, Finished at 13:21:02, Elapsed time: 194.569760407 seconds
File 72: Started at 13:17:47, Finished at 13:21:02, Elapsed time: 194.589064256 seconds
